Giá,Diện tích,Số phòng ngủ,Số toilet,Địa chỉ nhà,Ngày đăng tin,Ngày hết hạn,Mã tin,Quận,Đường,Lượt xem
25.0,210.0,4,4,"Đường Đỗ Xuân Hợp, Phường Phú Hữu, Quận 9, Hồ Chí Minh",2023-10-07,2023-10-22,13634,Quận 9,Đường Đỗ Xuân Hợp,47
19.0,80.0,5,5,"42C Đường Hoàng Hoa Thám, Phường 7, Bình Thạnh, Hồ Chí Minh",2023-04-27,2023-05-12,6067,Quận Bình Thạnh,Đường Hoàng Hoa Thám,51
35.0,300.0,0,0,"48G Đường Hồ Biểu Chánh, Phường 11, Phú Nhuận, Hồ Chí Minh",2023-04-21,2023-05-06,5802,Quận Phú Nhuận,Đường Hồ Biểu Chánh,40
33.0,100.0,4,0,"58D Đường Hồ Biểu Chánh, Phường 11, Phú Nhuận, Hồ Chí Minh",2023-07-11,2023-07-26,9936,Quận Phú Nhuận,Đường Hồ Biểu Chánh,61
60.0,224.0,6,5,"Đường Lam Sơn, Phường 2, Tân Bình, Hồ Chí Minh",2023-04-27,2023-05-12,5419,Quận Tân Bình,Đường Lam Sơn,57
35.0,400.0,7,0,"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",2023-12-18,2024-01-01,19782,Quận Gò Vấp,Đường Phan Văn Trị,10
55.0,420.0,0,0,"Đường Võ Văn Kiệt, Phường 6, Quận 5, Hồ Chí Minh",2023-11-30,2023-12-15,17360,Quận 5,Đường Võ Văn Kiệt,18
120.0,525.0,0,0,"Đường Số 3, Phường 10, Gò Vấp, Hồ Chí Minh",2023-12-18,2024-01-01,19923,Quận Gò Vấp,Đường Số 3,11
25.0,100.0,4,4,"Đường D, Phường An Phú, Quận 2, Hồ Chí Minh",2023-10-25,2023-11-09,14799,Quận 2,Đường D,44
80.0,200.0,7,5,"Đường Lương Định Của, Phường An Phú, Quận 2, Hồ Chí Minh",2023-10-23,2023-11-07,14692,Quận 2,Đường Lương Định Của,86
108.0,700.0,4,5,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",2023-12-11,2023-12-25,18693,Quận 2,Đường Nguyễn Văn Hưởng,14
105.0,420.0,5,6,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",2023-12-12,2023-12-26,18872,Quận 2,Đường Nguyễn Văn Hưởng,21
130.0,245.0,0,0,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",2023-12-16,2023-12-30,19451,Quận 2,Đường Nguyễn Văn Hưởng,14
50.0,420.0,4,3,"38K Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",2023-03-02,2023-03-17,3789,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,24
40.0,350.0,6,6,"Đường Số 3, Phường 7, Gò Vấp, Hồ Chí Minh",2023-12-16,2023-12-30,19553,Quận Gò Vấp,Đường Số 3,12
55.0,154.0,5,4,"Đường Số 30, Phường 10, Quận 6, Hồ Chí Minh",2023-11-13,2023-11-28,16029,Quận 6,Đường Số 30,38
176.0,220.0,5,6,"Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",2023-12-02,2023-12-17,17491,Quận 1,Đường Tôn Đức Thắng,22
50.0,120.0,5,4,"Đường 7, Phường 5, Gò Vấp, Hồ Chí Minh",2023-11-21,2023-12-06,16637,Quận Gò Vấp,Đường 7,52
130.0,630.0,0,0,"Đường Số 5, Phường 10, Gò Vấp, Hồ Chí Minh",2023-12-18,2024-01-01,19943,Quận Gò Vấp,Đường Số 5,12
40.0,126.0,0,0,"283/45A Đường Cách Mạng Tháng Tám, Phường 12, Quận 10, Hồ Chí Minh",2023-06-26,2023-07-11,9284,Quận 10,Đường Cách Mạng Tháng Tám,69
45.0,176.0,6,0,"400/24 Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",2023-08-24,2023-09-08,12518,Quận 3,Đường Lê Văn Sỹ,27
38.0,136.0,3,3,"42/ Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình, Hồ Chí Minh",2023-04-17,2023-05-02,5666,Quận Tân Bình,Đường Nguyễn Minh Hoàng,39
50.0,600.0,4,5,"46/9A Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Hồ Chí Minh",2023-06-02,2023-06-17,7177,Quận Bình Thạnh,Đường Nguyễn Cửu Vân,65
35.0,160.0,2,3,"Đường Nguyễn Bỉnh Khiêm, Phường 1, Gò Vấp, Hồ Chí Minh",2023-11-16,2023-12-01,16302,Quận Gò Vấp,Đường Nguyễn Bỉnh Khiêm,24
70.0,150.0,5,7,"Đường Nguyễn Trọng Tuyển, Phường 1, Tân Bình, Hồ Chí Minh",2023-11-15,2023-11-30,16180,Quận Tân Bình,Đường Nguyễn Trọng Tuyển,68
98.0,480.0,3,2,"Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh",2023-10-24,2023-11-08,14728,Quận Gò Vấp,Đường Phan Văn Trị,36
30.0,138.0,5,0,"Đường Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh",2023-12-02,2023-12-17,17487,Quận Tân Bình,Đường Trường Chinh,27
35.0,117.0,6,6,"Đường Đặng Văn Ngữ, Phường 10, Phú Nhuận, Hồ Chí Minh",2023-02-02,2023-02-17,2914,Quận Phú Nhuận,Đường Đặng Văn Ngữ,45
170.0,530.0,5,6,"Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",2023-12-11,2023-12-25,18684,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,7
28.0,77.0,4,4,"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",2023-09-30,2023-10-15,1896,Quận Phú Nhuận,Đường Nguyễn Đình Chính,59
60.0,115.0,6,5,"407/18 Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",2023-03-11,2023-03-26,3581,Quận 10,Đường Sư Vạn Hạnh,44
50.0,144.0,3,4,"Đường Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-02-14,2023-03-01,3363,Quận Phú Nhuận,Đường Phan Xích Long,27
50.0,240.0,2,3,"6B Đường Lam Sơn, Phường 2, Tân Bình, Hồ Chí Minh",2023-05-13,2023-05-28,6507,Quận Tân Bình,Đường Lam Sơn,30
35.0,108.0,6,7,"2A Đường Hoa Mai, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-03-24,2023-04-08,4850,Quận Phú Nhuận,Đường Hoa Mai,59
120.0,975.0,11,6,"Đường Võ Trường Toản, Phường 2, Bình Thạnh, Hồ Chí Minh",2023-12-13,2023-12-27,18951,Quận Bình Thạnh,Đường Võ Trường Toản,12
30.0,112.0,5,0,"95/10 Đường Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh",2023-09-01,2023-09-16,12789,Quận 10,Đường Bắc Hải,60
70.0,100.0,6,7,"112/10 Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",2023-05-13,2023-05-28,6491,Quận Tân Bình,Đường Phổ Quang,34
42.0,310.0,6,3,"Đường Số 17, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",2023-11-15,2023-11-30,16198,Quận Thủ Đức,Đường Số 17,64
30.0,130.0,3,5,"Đường 5, Phường 17, Gò Vấp, Hồ Chí Minh",2023-11-29,2023-12-14,17278,Quận Gò Vấp,Đường 5,85
33.0,120.0,0,0,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",2023-10-07,2023-10-22,13682,Quận 9,Đường Đỗ Xuân Hợp,48
36.0,114.0,3,4,"Đường Đoàn Thị Điểm, Phường 1, Phú Nhuận, Hồ Chí Minh",2023-10-13,2023-10-28,14094,Quận Phú Nhuận,Đường Đoàn Thị Điểm,43
45.0,136.0,0,0,"290b Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh",2023-06-16,2023-07-01,8619,Quận 3,Đường Nam Kỳ Khởi Nghĩa,93
70.0,192.0,0,0,"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Hồ Chí Minh",2023-06-05,2023-06-20,7306,Quận 1,Đường Nguyễn Thị Minh Khai,55
35.0,400.0,0,0,"354B Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",2023-03-15,2023-03-30,4402,Quận 10,Đường Lý Thường Kiệt,31
60.0,105.0,0,0,"Đường Điện Biên Phủ, Phường 7, Quận 3, Hồ Chí Minh",2023-11-18,2023-12-03,16438,Quận 3,Đường Điện Biên Phủ,44
30.0,96.0,6,7,"Đường Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",2023-09-04,2023-09-19,11859,Quận Tân Bình,Đường Bình Giã,66
30.0,96.0,6,7,"Đường Bình Giã, Phường 14, Tân Bình, Hồ Chí Minh",2023-02-14,2023-03-01,3365,Quận Tân Bình,Đường Bình Giã,36
12.0,90.0,4,2,"Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh",2023-12-14,2023-12-28,19154,Quận 1,Đường Bùi Thị Xuân,24
11.0,80.0,4,2,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh",2023-07-07,2023-07-22,9739,Quận 6,Đường Bà Hom,71
8.5,64.0,0,0,"Đường Cách Mạng Tháng Tám, Phường 5, Tân Bình, Hồ Chí Minh",2023-12-11,2023-12-25,18605,Quận Tân Bình,Đường Cách Mạng Tháng Tám,23
60.0,97.0,6,4,"Đường Cách Mạng Tháng Tám, Phường 6, Tân Bình, Hồ Chí Minh",2023-04-18,2023-05-03,5707,Quận Tân Bình,Đường Cách Mạng Tháng Tám,80
11.0,54.0,2,2,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",2023-07-14,2023-07-29,10156,Quận 10,Đường Cách Mạng Tháng Tám,31
35.0,135.0,3,3,"Đường Cách Mạng Tháng Tám, Phường 6, Quận 3, Hồ Chí Minh",2023-04-26,2023-05-11,3788,Quận 3,Đường Cách Mạng Tháng Tám,58
15.0,42.0,0,0,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",2023-07-14,2023-07-29,10178,Quận 10,Đường Cách Mạng Tháng Tám,30
22.0,73.0,4,3,"Hẻm 95 Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",2023-07-18,2023-08-02,10624,Quận Bình Thạnh,Đường Hoàng Hoa Thám,49
32.0,90.0,5,5,"Đường Hoàng Việt, Phường 4, Tân Bình, Hồ Chí Minh",2023-09-15,2023-09-30,12233,Quận Tân Bình,Đường Hoàng Việt,29
25.0,150.0,0,0,"Đường Nguyễn Kim, Phường 7, Quận 10, Hồ Chí Minh",2023-03-28,2023-04-12,5031,Quận 10,Đường Nguyễn Kim,106
22.0,210.0,3,3,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",2023-12-18,2024-01-01,19822,Quận 11,Đường Lạc Long Quân,13
32.0,105.0,5,6,"A75 Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh",2023-10-07,2023-10-22,13657,Quận Tân Bình,Đường Bạch Đằng,20
50.0,250.0,3,4,"138A Đường Ngô Quyền, Phường 6, Quận 10, Hồ Chí Minh",2023-02-17,2023-03-04,3485,Quận 10,Đường Ngô Quyền,110
45.0,68.0,4,4,"Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",2023-04-19,2023-05-04,5182,Quận 1,Đường Cống Quỳnh,83
100.0,126.0,5,6,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-04-13,2023-04-28,5500,Quận 1,Đường Hai Bà Trưng,94
30.0,300.0,5,5,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",2023-12-13,2023-12-27,18979,Quận 3,Đường Trần Quang Diệu,10
45.0,112.0,0,0,"Đường Trương Quyền, Phường 6, Quận 3, Hồ Chí Minh",2023-04-17,2023-05-02,4569,Quận 3,Đường Trương Quyền,76
30.0,105.0,4,3,"27Bis Đường Hậu Giang, Phường 4, Tân Bình, Hồ Chí Minh",2023-10-12,2023-10-27,13973,Quận Tân Bình,Đường Hậu Giang,41
45.0,340.0,0,0,"Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh",2023-12-07,2023-12-21,18057,Quận Tân Bình,Đường Bạch Đằng,12
25.0,40.0,2,3,"212/3 Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh",2023-04-08,2023-04-23,5060,Quận 3,Đường Nguyễn Thiện Thuật,101
21.0,58.0,2,1,"Đường Lý Chính Thắng, Phường 8, Quận 3, Hồ Chí Minh",2023-11-29,2023-12-14,17308,Quận 3,Đường Lý Chính Thắng,35
13.0,22.0,1,2,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",2023-05-23,2023-06-07,6816,Quận 1,Đường Nguyễn Bỉnh Khiêm,81
20.0,220.0,3,3,"Đường Hậu Giang, Phường 4, Tân Bình, Hồ Chí Minh",2023-12-09,2023-12-23,18376,Quận Tân Bình,Đường Hậu Giang,9
25.0,80.0,0,0,"Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",2023-10-07,2023-10-22,13592,Quận 8,Đường Cao Lỗ,44
65.0,125.0,6,6,"Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh",2023-04-11,2023-04-26,4858,Quận 10,Đường Cao Thắng,99
110.0,420.0,0,5,"Đường Cao Thắng, Phường 5, Quận 3, Hồ Chí Minh",2023-12-14,2023-12-28,19196,Quận 3,Đường Cao Thắng,12
25.0,250.0,0,0,"Đường Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, Hồ Chí Minh",2023-10-04,2023-10-19,13439,Quận 7,Đường Nguyễn Văn Linh,44
15.0,64.0,2,1,"Đường Nguyễn Chí Thanh, Phường 2, Quận 10, Hồ Chí Minh",2023-11-12,2023-11-27,15975,Quận 10,Đường Nguyễn Chí Thanh,34
5.0,68.0,0,0,"Đường Trung Mỹ Tây, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",2023-06-23,2023-07-08,9082,Quận 12,Đường Trung Mỹ Tây,81
7.5,25.0,1,2,"Đường Hoàng Văn Thụ, Phường 9, Phú Nhuận, Hồ Chí Minh",2023-06-23,2023-07-08,9100,Quận Phú Nhuận,Đường Hoàng Văn Thụ,26
20.0,80.0,1,1,"Đường Phan Bá Phiến, Phường 12, Tân Bình, Hồ Chí Minh",2023-12-09,2023-12-23,18452,Quận Tân Bình,Đường Phan Bá Phiến,7
40.0,210.0,0,1,"Đường Số 20, Phường 5, Gò Vấp, Hồ Chí Minh",2023-12-19,2024-01-02,20087,Quận Gò Vấp,Đường Số 20,10
7.0,140.0,3,1,"Đường 15, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",2023-06-16,2023-07-01,8631,Quận 9,Đường 15,52
75.0,126.0,0,0,"Đường 3/2, Phường 12, Quận 11, Hồ Chí Minh",2023-10-17,2023-11-01,14233,Quận 11,Đường 3/2,66
18.0,57.0,4,3,"157/32 Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh",2023-08-12,2023-08-27,11773,Quận 8,Đường Hưng Phú,68
45.0,72.0,2,3,"Đường Nguyễn Đình Chiểu, Phường 1, Quận 3, Hồ Chí Minh",2023-03-13,2023-03-28,4292,Quận 3,Đường Nguyễn Đình Chiểu,54
30.0,300.0,5,4,"Đường Phạm Văn Hai, Phường 2, Tân Bình, Hồ Chí Minh",2023-12-13,2023-12-27,18921,Quận Tân Bình,Đường Phạm Văn Hai,4
35.0,90.0,5,3,"82G Lê Văn Duyệt, Phường 1, Bình Thạnh, Hồ Chí Minh",2023-08-04,2023-08-19,11377,Quận Bình Thạnh,Lê Văn Duyệt,87
18.0,92.0,2,2,"Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh",2023-10-29,2023-11-13,14999,Quận Tân Bình,Đường Bạch Đằng,67
117.0,720.0,10,8,"Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Hồ Chí Minh",2023-11-09,2023-11-24,15733,Quận 3,Đường Nam Kỳ Khởi Nghĩa,44
50.0,108.0,10,10,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",2023-10-18,2023-11-02,14372,Quận 1,Đường Bùi Viện,30
15.0,33.0,2,2,"Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",2023-11-06,2023-11-21,15536,Quận 10,Đường 3/2,48
9.5,30.0,2,3,"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",2023-11-09,2023-11-24,15715,Quận Gò Vấp,Đường Nguyễn Kiệm,37
10.0,48.0,2,2,"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",2023-11-13,2023-11-28,16095,Quận Gò Vấp,Đường Thống Nhất,38
10.0,36.0,2,2,"Đường Vạn Kiếp, Phường 3, Bình Thạnh, Hồ Chí Minh",2023-10-11,2023-10-26,13750,Quận Bình Thạnh,Đường Vạn Kiếp,40
12.0,50.0,0,0,"Đường Lê Thiệt, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",2023-10-17,2023-11-01,14279,Quận Tân Phú,Đường Lê Thiệt,46
9.0,48.0,0,0,"Đường Phùng Văn Cung, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-10-19,2023-11-03,14413,Quận Phú Nhuận,Đường Phùng Văn Cung,30
11.0,70.0,2,2,"Đường Bùi Hữu Nghĩa, Phường 2, Bình Thạnh, Hồ Chí Minh",2023-11-21,2023-12-06,16624,Quận Bình Thạnh,Đường Bùi Hữu Nghĩa,63
11.0,33.0,2,2,"Đường 3/2, Phường 10, Quận 10, Hồ Chí Minh",2023-10-13,2023-10-28,14106,Quận 10,Đường 3/2,20
15.0,48.0,2,2,"Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh",2023-10-20,2023-11-04,14534,Quận 3,Đường Nguyễn Thiện Thuật,9
12.0,83.0,2,2,"Đường Âu Cơ, Phường 10, Tân Bình, Hồ Chí Minh",2023-11-10,2023-11-25,15793,Quận Tân Bình,Đường Âu Cơ,21
10.0,36.0,2,3,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",2023-11-15,2023-11-30,16218,Quận 11,Đường Lạc Long Quân,27
12.0,81.0,2,0,"Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Hồ Chí Minh",2023-10-11,2023-10-26,13788,Quận 3,Đường Nam Kỳ Khởi Nghĩa,14
20.0,67.0,0,0,"47a Đường Thích Minh Nguyệt, Phường 2, Tân Bình, Hồ Chí Minh",2023-06-02,2023-06-17,7189,Quận Tân Bình,Đường Thích Minh Nguyệt,63
14.0,64.0,3,2,"Đường Số 25, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",2023-11-04,2023-11-19,15385,Quận Thủ Đức,Đường Số 25,35
20.0,58.0,3,3,"Đường Cách Mạng Tháng Tám, Phường 7, Tân Bình, Hồ Chí Minh",2023-11-19,2023-12-04,16462,Quận Tân Bình,Đường Cách Mạng Tháng Tám,5
10.5,29.0,3,2,"Đường Đinh Bộ Lĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh",2023-11-11,2023-11-26,15819,Quận Bình Thạnh,Đường Đinh Bộ Lĩnh,23
7.5,30.0,3,2,"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",2023-11-10,2023-11-25,15745,Quận Gò Vấp,Đường Nguyễn Kiệm,73
10.0,40.0,3,2,"Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",2023-11-16,2023-12-01,16260,Quận Bình Thạnh,Đường Nguyễn Xí,57
10.0,60.0,3,3,"Đường Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh",2023-11-03,2023-11-18,15303,Quận Gò Vấp,Đường Quang Trung,24
12.0,42.0,3,0,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-11-09,2023-11-24,15706,Quận 1,Đường Trần Khắc Chân,68
25.0,40.0,3,3,"Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh",2023-10-16,2023-10-31,14184,Quận 3,Đường Võ Văn Tần,17
9.0,25.0,3,4,"451/11/38 Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",2023-12-04,2023-12-19,17512,Quận 10,Đường Tô Hiến Thành,16
8.0,44.0,3,2,"Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh",2023-11-15,2023-11-30,16215,Quận Gò Vấp,Đường Nguyễn Tư Giản,32
10.0,70.0,3,3,"Đường Lê Hồng Phong, Phường 3, Quận 5, Hồ Chí Minh",2023-10-18,2023-11-02,14382,Quận 5,Đường Lê Hồng Phong,49
13.0,40.0,3,3,"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh",2023-10-17,2023-11-01,14232,Quận Bình Thạnh,Đường Chu Văn An,11
12.0,25.0,3,3,"Đường Phan Văn Trị, Phường 2, Quận 5, Hồ Chí Minh",2023-10-20,2023-11-04,14518,Quận 5,Đường Phan Văn Trị,45
15.0,32.0,3,3,"Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-10-17,2023-11-01,14260,Quận 1,Đường Trần Khánh Dư,15
13.5,54.0,3,3,"Đường Lạc Long Quân, Phường 10, Tân Bình, Hồ Chí Minh",2023-11-15,2023-11-30,16226,Quận Tân Bình,Đường Lạc Long Quân,28
10.0,61.0,3,2,"Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh",2023-10-31,2023-11-15,15123,Quận Gò Vấp,Đường Lê Đức Thọ,32
9.0,33.0,2,4,"Đường Cống Lở, Phường 15, Tân Bình, Hồ Chí Minh",2023-12-06,2023-12-20,17878,Quận Tân Bình,Đường Cống Lở,37
16.0,28.0,3,3,"Đường Nguyễn Chí Thanh, Phường 3, Quận 10, Hồ Chí Minh",2023-10-30,2023-11-14,15099,Quận 10,Đường Nguyễn Chí Thanh,79
12.0,64.0,3,2,"Đường Trần Văn Đang, Phường 11, Quận 3, Hồ Chí Minh",2023-11-25,2023-12-10,16914,Quận 3,Đường Trần Văn Đang,81
15.0,68.0,3,3,"1D/6 Đường Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",2023-06-15,2023-06-30,8469,Quận Tân Bình,Đường Bình Giã,70
25.0,99.0,4,3,"126G Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",2023-08-31,2023-09-15,11759,Quận Phú Nhuận,Đường Phan Đăng Lưu,61
25.0,99.0,4,3,"126G Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",2023-08-29,2023-09-13,12656,Quận Phú Nhuận,Đường Phan Đăng Lưu,25
16.0,45.0,4,3,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",2023-11-20,2023-12-05,16564,Quận 10,Đường Cách Mạng Tháng Tám,52
17.0,56.0,4,2,"Đường Cách Mạng Tháng Tám, Phường 7, Tân Bình, Hồ Chí Minh",2023-11-13,2023-11-28,16038,Quận Tân Bình,Đường Cách Mạng Tháng Tám,47
11.5,43.0,4,4,"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",2023-10-18,2023-11-02,14375,Quận Gò Vấp,Đường Dương Quảng Hàm,40
18.0,72.0,4,4,"435/4A Đường Nguyễn Trọng Tuyển, Phường 2, Tân Bình, Hồ Chí Minh",2023-02-20,2023-03-07,3567,Quận Tân Bình,Đường Nguyễn Trọng Tuyển,27
12.0,72.0,4,2,"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",2023-10-16,2023-10-31,14150,Quận Bình Thạnh,Đường Tăng Bạt Hổ,28
22.0,68.0,4,5,"Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh",2023-11-11,2023-11-26,15822,Quận Phú Nhuận,Đường Thích Quảng Đức,18
10.0,80.0,4,3,"Đường Lê Văn Thọ, Phường 9, Gò Vấp, Hồ Chí Minh",2023-11-25,2023-12-10,16940,Quận Gò Vấp,Đường Lê Văn Thọ,121
18.0,35.0,4,4,"Đường Nguyễn Ngọc Lộc, Phường 14, Quận 10, Hồ Chí Minh",2023-11-07,2023-11-22,15545,Quận 10,Đường Nguyễn Ngọc Lộc,47
18.0,52.0,4,4,"Đường Đất Thánh, Phường 6, Tân Bình, Hồ Chí Minh",2023-10-21,2023-11-05,14564,Quận Tân Bình,Đường Đất Thánh,50
16.0,80.0,4,4,"Đường Huỳnh Văn Nghệ, Phường 15, Tân Bình, Hồ Chí Minh",2023-10-23,2023-11-07,14670,Quận Tân Bình,Đường Huỳnh Văn Nghệ,31
10.0,42.0,4,3,"Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh",2023-11-14,2023-11-29,16133,Quận Gò Vấp,Đường Lê Đức Thọ,31
28.0,60.0,4,3,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",2023-10-20,2023-11-04,14515,Quận 3,Đường Lê Văn Sỹ,12
14.5,140.0,4,3,"Đường Nguyễn Bặc, Phường 3, Tân Bình, Hồ Chí Minh",2023-12-09,2023-12-23,18423,Quận Tân Bình,Đường Nguyễn Bặc,14
30.0,60.0,4,2,"Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Hồ Chí Minh",2023-11-11,2023-11-26,15843,Quận 3,Đường Nguyễn Đình Chiểu,17
11.5,60.0,4,4,"Đường Số 53, Phường 14, Gò Vấp, Hồ Chí Minh",2023-11-11,2023-11-26,15855,Quận Gò Vấp,Đường Số 53,29
11.0,24.0,4,2,"Đường Đinh Bộ Lĩnh, Phường 15, Bình Thạnh, Hồ Chí Minh",2023-11-10,2023-11-25,15799,Quận Bình Thạnh,Đường Đinh Bộ Lĩnh,30
24.0,72.0,5,4,"64A Đường Phùng Văn Cung, Phường 7, Phú Nhuận, Hồ Chí Minh",2023-08-30,2023-09-14,11851,Quận Phú Nhuận,Đường Phùng Văn Cung,48
22.0,72.0,5,5,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",2023-11-06,2023-11-21,15465,Quận Bình Thạnh,Đường Bùi Đình Túy,46
14.0,40.0,5,3,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",2023-11-09,2023-11-24,15743,Quận 10,Đường Cách Mạng Tháng Tám,72
30.0,32.0,5,6,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",2023-11-12,2023-11-27,15911,Quận 3,Đường Lê Văn Sỹ,36
18.0,52.0,5,4,"Đường Ông Ích Khiêm, Phường 14, Quận 11, Hồ Chí Minh",2023-11-06,2023-11-21,15467,Quận 11,Đường Ông Ích Khiêm,31
20.0,72.0,4,5,"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",2023-11-23,2023-12-08,16761,Quận Gò Vấp,Đường Phạm Văn Chiêu,21
22.0,40.0,5,6,"Đường Quang Trung, Phường 14, Gò Vấp, Hồ Chí Minh",2023-10-13,2023-10-28,14101,Quận Gò Vấp,Đường Quang Trung,37
18.0,90.0,5,4,"Đường Phạm Văn Bạch, Phường 15, Gò Vấp, Hồ Chí Minh",2023-10-13,2023-10-28,14001,Quận Gò Vấp,Đường Phạm Văn Bạch,40
